patentkey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.9999999999999994,0.007127234267751848,0.9999999999999994,0.018161370244970956,0.0018398595494220646,0.016015331563094256,0.011594999573852353,0.005322888145755156,0.06880866395309418,0.037426498450197555,0.018651615975656618,0.06691375905863164,0.0,0.020672127345909206,0.006029878378837356,0.012505954194772968,0.022945335594636705,0.009594262677372602,0.010271366158754312,0.0016831475069489029,0.020601818008255567,0.020451399377390475,0.015343572828068782,0.01920449357695294,0.04513458126181728,0.0585983126115321,0.017734522036153742,0.0470904853379069,0.0014596783183028954,0.010951113293738194,0.2648753231680994,0.03087120112810153,0.016366010725225637,0.008511314687293261,0.004404104095376609,0.017368743863978874,0.2998350459700204,0.02470636421303212,0.015150066953099488,0.006287844643799801,0.009850872941178292,0.04552716507934325,0.02389787144261287,0.17242146552067178,0.036743047107376726,0.00667526393905581,0.019505630599508352,0.05432655057003885,0.01144744620181387,0.03703541166647574,0.006653778594416567,0.01957539440528691,0.014820390752020919,0.002520544821938711,0.04781524673916193,0.0015776302222247198,0.07740996123809185,0.030934261653043305,0.0034753861144430137,0.005569344908928017,0.09890539041700445,0.054745263412551454,0.04283581993828403,0.018214901358256673,0.022798806901462697,0.1469087953213037,0.03153191629273203,0.008867180885147638,0.12589741209003297,0.0014944925741833613,0.03423480040032346,0.19897795588749764,0.03542171680248009,0.024311979612573108,0.01860032586245294,0.2598211226152995,0.005198313932073694,0.010780514479708991,0.011057550184679606,0.023154905551659416,0.019966136896757528,0.002438055218906385,0.0032287907736743087,0.009268903263934564,0.0071535431341672034,0.022502088666935337,0.09693147479680427,0.02078957460352923,0.005971533677249905,0.04297052444755608,0.21538904412449147,0.03510808237778483,0.003717020786465403,0.022449050404412647,0.010514544758252097,0.003910078310660356,0.055394785943311056,0.0075261792107526775,0.01031966018986342,0.006440994128062138
1,0.007127234267751848,1.0000000000000002,0.007127234267751848,0.012823624227207318,0.10774149934212222,0.07588320399795585,0.07331338237256563,0.018108832061469238,0.001852750079041405,0.027784239433636435,0.005557185156841109,0.1391791419505394,0.028093187024621023,0.014360982164559931,0.020440102925285183,0.021867449551104323,0.025055628614242806,0.09066062218593032,0.03496345725011436,0.007698869592563863,0.027259716317321336,0.02515978761368145,0.0025961940471794123,0.005174522919981179,0.0030770454355584387,0.09950536188608718,0.03752301897223828,0.016062985588071024,0.0,0.03527450888813108,0.020789667615651628,0.02854227765637517,0.08163823542696297,0.008152845950318292,0.10056553199639796,0.016041122244126706,0.009313848506372052,0.021937562680720862,0.026002651236595162,0.004875840582607375,0.010966493244873612,0.005973281264726715,0.025139818870032797,0.017457629514023777,0.14963649274315102,0.00925178371214136,0.03112672413578782,0.02595362937699959,0.019077209555130852,0.018325347466578552,0.0112482063349605,0.022312369479771818,0.01985752002401733,0.006310517879471651,0.04975538028295665,0.012783448157111348,0.13772042028315293,0.038969471045151735,0.03234752555104807,0.004649465875995193,0.02095818861258627,0.025133097996571645,0.024108377775869088,0.023389678227204367,0.006491293944331331,0.0749598646355771,0.03320335413590786,0.13365947507586884,0.021971809799027082,0.0975999164843218,0.009585240403312049,0.025772184663227556,0.014189078683164793,0.022524800104618572,0.013412103512335316,0.02427988988162058,0.005800002131362354,0.006630432369678169,0.013516960086524537,0.009198283213510723,0.03022227213275356,0.010044227094861065,0.015576075911595539,0.01349166457766397,0.9688610932383342,0.007846781622498416,0.013402336303386218,0.14294930587629295,0.02403836711670314,0.025901521071291202,0.028331494503877442,0.01796276183835767,0.04876852019263469,0.025302551202057134,0.031004422178197533,0.06095652232083432,0.022032835251329822,0.01040837986415058,0.007099171688415278,0.0013916182102383578
2,0.9999999999999994,0.007127234267751848,0.9999999999999994,0.018161370244970956,0.0018398595494220646,0.016015331563094256,0.011594999573852353,0.005322888145755156,0.06880866395309418,0.037426498450197555,0.018651615975656618,0.06691375905863164,0.0,0.020672127345909206,0.006029878378837356,0.012505954194772968,0.022945335594636705,0.009594262677372602,0.010271366158754312,0.0016831475069489029,0.020601818008255567,0.020451399377390475,0.015343572828068782,0.01920449357695294,0.04513458126181728,0.0585983126115321,0.017734522036153742,0.0470904853379069,0.0014596783183028954,0.010951113293738194,0.2648753231680994,0.03087120112810153,0.016366010725225637,0.008511314687293261,0.004404104095376609,0.017368743863978874,0.2998350459700204,0.02470636421303212,0.015150066953099488,0.006287844643799801,0.009850872941178292,0.04552716507934325,0.02389787144261287,0.17242146552067178,0.036743047107376726,0.00667526393905581,0.019505630599508352,0.05432655057003885,0.01144744620181387,0.03703541166647574,0.006653778594416567,0.01957539440528691,0.014820390752020919,0.002520544821938711,0.04781524673916193,0.0015776302222247198,0.07740996123809185,0.030934261653043305,0.0034753861144430137,0.005569344908928017,0.09890539041700445,0.054745263412551454,0.04283581993828403,0.018214901358256673,0.022798806901462697,0.1469087953213037,0.03153191629273203,0.008867180885147638,0.12589741209003297,0.0014944925741833613,0.03423480040032346,0.19897795588749764,0.03542171680248009,0.024311979612573108,0.01860032586245294,0.2598211226152995,0.005198313932073694,0.010780514479708991,0.011057550184679606,0.023154905551659416,0.019966136896757528,0.002438055218906385,0.0032287907736743087,0.009268903263934564,0.0071535431341672034,0.022502088666935337,0.09693147479680427,0.02078957460352923,0.005971533677249905,0.04297052444755608,0.21538904412449147,0.03510808237778483,0.003717020786465403,0.022449050404412647,0.010514544758252097,0.003910078310660356,0.055394785943311056,0.0075261792107526775,0.01031966018986342,0.006440994128062138
3,0.018161370244970956,0.012823624227207318,0.018161370244970956,0.9999999999999999,0.037559847655742225,0.027362868273807208,0.06924836814880754,0.038986160386447914,0.03692572469939638,0.024485088481101785,0.013134491966981611,0.004712609088981431,0.004853005859041601,0.012260809860017319,0.030803006583464198,0.02710889818676949,0.024553786184726027,0.18490593713863482,0.01184873964253856,0.03245124136299889,0.01896422958016544,0.020994354844093385,0.01851999483909715,0.026572912083813648,0.023041882426705646,0.014590000235951863,0.020716494335125294,0.0337690844593364,0.0012066793280290902,0.010238206413840224,0.02666857620113249,0.022120763729976928,0.06889146740597797,0.020600055613129924,0.03245209550024625,0.009314289505730988,0.06680065996860013,0.030753650668768746,0.00793497422414524,0.025211516146718082,0.02228821790537652,0.0042396152624795,0.01064914383281718,0.005545458006689492,0.03257945130497958,0.0025063781826666553,0.016156096966517184,0.016137842780313286,0.0320956122765723,0.032765276763119,0.011505396292588186,0.15510833340139607,0.005769253125746991,0.004366355389816735,0.004273983104103308,0.011809995604744395,0.034781238080975496,0.001880436915916676,0.023299306956400687,0.010365337058022672,0.027318015287726278,0.04303421275547008,0.026739719256701582,0.047664546350189914,0.004601852219519649,0.005496580479720757,0.14097932200766877,0.019567955695384477,0.045490247630670624,0.10260403349822887,0.02499507794695382,0.013255323809300484,0.010137209605629945,0.004567952664296481,0.0038744981797825383,0.007652881533116137,0.007462030561201106,0.0013058769978511447,0.10256572591756301,0.030128702970446945,0.004837913549787684,0.01568887406928825,0.03074018262601016,0.022608861420995188,0.012870960263049555,0.00347940897478451,0.006896179034734074,0.07082244750464171,0.0006055324008702541,0.02322704981968571,0.019473037034382544,0.006050262761179919,0.015122842923644112,0.004367501361499919,0.01282392736678411,0.019294462243713527,0.052331825760597535,0.005977306191919574,0.006555592353179201,0.0012739469601351979
4,0.0018398595494220646,0.10774149934212222,0.0018398595494220646,0.037559847655742225,1.0000000000000004,0.05355393364453341,0.057612487649599524,0.0012591904060624565,0.010087128370703632,0.012170962346755458,0.06438509229542116,0.029362991800477366,0.007564292374389839,0.03142834314441216,0.025737190332506904,0.003150149874423126,0.019527595869957518,0.0861169627648858,0.07764362607134352,0.012495799514616431,0.05552754445607534,0.0167111354702714,0.001069768334714335,0.010522748722132356,0.00793738362182378,0.03545141367105796,0.24525651341867502,0.14098898453164216,0.01314253762094113,0.07465071799378017,0.017627742731351773,0.0182100017894993,0.4615068656505882,0.0040881503131726645,0.057035411525800335,0.1047639370047846,0.04566825001424638,0.02438096917221907,0.03423852800980027,0.02855684111154528,0.004228774524249967,0.02661996886206188,0.03034404185111593,0.03004713339306532,0.0500326084254971,0.03002589900257599,0.023243313887434176,0.039968105617296336,0.04535779974308542,0.056248804344474254,0.008284793344341936,0.07928312300795363,0.057777521588171524,0.005369090960840572,0.04448166792528784,0.04957031618311952,0.04749969376867494,0.03727853221950014,0.04288083564935038,0.005922660363574014,0.029068272177591902,0.02239308554373841,0.03880845052575259,0.029183022213359996,0.017107206653139754,0.029610832850886788,0.04460948962805016,0.023206658507163615,0.06110073427033488,0.048591010140866676,0.015094483336908302,0.027271086802927377,0.095014555649828,0.006629281046518771,0.01694875253199071,0.14897188211318274,0.01065417148796612,0.015609092766793698,0.05095643017867334,0.019644519126931968,0.019071382226296407,0.025064519428857613,0.010028043378035104,0.08674109145457426,0.11244425352168082,0.017312754673516468,0.031820218557519105,0.07672361666278767,0.022625000192452307,0.03998560162264395,0.014955660299029939,0.024773402881698235,0.02440765163989173,0.04611290861234681,0.030524350069243124,0.06939409727297365,0.03256594060720924,0.012202877641234573,0.10290818971208648,0.016012354550147212
5,0.016015331563094256,0.07588320399795585,0.016015331563094256,0.027362868273807208,0.05355393364453341,1.0000000000000002,0.09218537319137797,0.018823836267972998,0.03834055458562459,0.026314550979473036,0.0060815865493585464,0.04864365916581269,0.0031922117830843074,0.013492549199398069,0.019369568948673917,0.02282415620191455,0.038405378590736686,0.033554879665182065,0.008170289042715207,0.018623228089975026,0.08587166251930821,0.03183144839593757,0.0050569154617789314,0.016923435645272225,0.006752743552731991,0.14543601299523604,0.048493574593362634,0.024463351757992063,0.009803437673175607,0.008032993022267001,0.031481003869220016,0.0390596962978086,0.21564323784946293,0.009188761266219486,0.05307920597437518,0.0317026654377562,0.12694181629439102,0.06751204159276332,0.016947977135304482,0.009738115275053291,0.01053160086166995,0.022644476923355476,0.04574218175209158,0.1000561010764271,0.05941693865599946,0.01289268445459941,0.12403923882239198,0.02610272993693919,0.01114683899118728,0.030596041553140354,0.014867679781041568,0.15641996245697418,0.04839985670085522,0.006885150125202087,0.009517703401657194,0.0060174375297330175,0.21191917976305163,0.04501093598631998,0.02301656631339922,0.011499443975475266,0.044691750633526345,0.048477948866228436,0.09124341869869682,0.03355777065971147,0.017644140341334123,0.11246629050230003,0.03400755442744968,0.006861120071898488,0.15114571710773503,0.1676539526598115,0.0245289133249216,0.03060423700322464,0.04817313791547747,0.009447475745661755,0.012730710878954622,0.2574950307446913,0.026994336870395298,0.14708932468904554,0.032060389253095734,0.02986924056933015,0.013567583091191653,0.007875413862226037,0.012899233215149424,0.042275842681679277,0.08584808539229241,0.01958529683238418,0.036472604881519245,0.17544380819497402,0.013864536205039428,0.04150571003804541,0.039538590360382424,0.042609047089029704,0.05559157547072264,0.12000004397268062,0.023641403053372437,0.07504261684782965,0.015687788343629,0.022142330682255563,0.013438155507879667,0.010717922579740333
6,0.011594999573852353,0.07331338237256563,0.011594999573852353,0.06924836814880754,0.057612487649599524,0.09218537319137797,1.0,0.0018954136240406135,0.07321374902579943,0.030111700244369335,0.03196068881678752,0.023955254869863964,0.005230782867710606,0.03901229690828017,0.007807064295226516,0.0008680311944869392,0.0218087358124986,0.05124658345155927,0.0530717868515224,0.025129213354359567,0.02941097315765259,0.01618829789718407,0.01912936822496832,0.0583905353136185,0.0029011538218934995,0.09144439674351125,0.044745941595677886,0.0705007821681811,0.0,0.0547006912044634,0.02661899951792742,0.029980635761709926,0.09291788539105907,0.004041567868612751,0.11351710387982569,0.02483996917267588,0.13103492584913348,0.022269515202939016,0.015204695787613015,0.10163692103880327,0.012878960531361871,0.008357211921740658,0.029877285677939666,0.015601073050879006,0.03773864475479322,0.014791764540093545,0.00871784595352985,0.01242963053296907,0.014811775015376928,0.036963217235698745,0.008321798869889594,0.13019696750363735,0.005487758483079391,0.050223689539880725,0.006254434514694342,0.0899918926008173,0.09992101963120247,0.013544326432653724,0.03334737181631025,0.07869671614672595,0.026424088571392668,0.021808848551771315,0.0370548708242147,0.08219609274198404,0.09928819341300282,0.06990578077524137,0.04031368964283349,0.017915653430620633,0.03442706873924955,0.14337993244461233,0.023984206822133747,0.02313700452247014,0.010962834510693941,0.014178976732872878,0.03199065423031966,0.01831956326718881,0.01758051750538138,0.02101577483215613,0.09414953833852174,0.035949144596764855,0.012878878816429622,0.006320874475695837,0.002946239164383151,0.0388466359738328,0.06447313006196359,0.009394952408379332,0.025502236968770953,0.18902869672444897,0.022494351503480715,0.0290124899201931,0.030787148387789294,0.024973890344041523,0.007747233290136211,0.0007630107456779058,0.017033807330063225,0.03900889534392545,0.04762580831873134,0.001786708160806324,0.004356344193036989,0.012457010897168944
7,0.005322888145755156,0.018108832061469238,0.005322888145755156,0.038986160386447914,0.0012591904060624565,0.018823836267972998,0.0018954136240406135,0.9999999999999998,0.048430446399279105,0.004400843840764899,0.0,0.0029429790314454154,0.18012014177093372,0.0035606363205655106,0.00916419782019776,0.9328424690210946,0.008003665545497458,0.0345366818805163,0.0027767497560152103,0.013406522343110098,0.009184186121928041,0.05408139967538081,0.0,0.013244751767781716,0.0023074272139243183,0.01136803642703533,0.00339080803838154,0.023017026668974382,0.0016987677473568744,0.002864101345490964,0.009471054516696838,0.011161938306311679,0.0037136403681779324,0.04800390102613997,0.009187141378629582,0.0017221623039724342,0.006945584194661047,0.02107241904644713,0.010488593842574421,0.0,0.012034558013381928,0.0011377509075971783,0.006905566019552799,0.00682466937588053,0.0034866855539021292,0.0024447260685792733,0.0014939854797435279,0.008001810000641894,0.008716560222610513,0.012925562102678749,0.008993260940122504,0.02819683196478701,0.013297893864718911,0.0016960294231909991,0.015249141599218427,0.0,0.0005908537270297852,0.04423341400710316,0.005063584644662758,0.0,0.016243300912373207,0.029049707899196482,0.0,0.029507625988379728,0.0006711937399865485,0.02643375451577399,0.01823638429243514,0.03958865539253438,0.07122027302662974,0.005296528655124344,0.015379908238151668,0.02066968032554782,0.005585578830500874,0.0,0.0,0.020637728875062912,0.006541165531003168,0.030024887258971265,0.008604281885792854,0.023101331203513462,0.05591905347825819,0.00040349521936814195,0.0238048837853394,0.0190376484175843,0.05486060077498453,0.023131599364509897,0.006622698315499005,0.00800070100599332,0.006357199423720813,0.06134485131017878,0.013498822382258583,0.009933017620241603,0.015918688621577203,0.018313792406952904,0.0,0.014450078876328286,0.02198321002735585,0.002682474656073088,0.0011631775936066396,0.0020433132768822564
8,0.06880866395309418,0.001852750079041405,0.06880866395309418,0.03692572469939638,0.010087128370703632,0.03834055458562459,0.07321374902579943,0.048430446399279105,1.0000000000000004,0.10454910098206767,0.013549469737937102,0.22796996643350237,0.01128088715208344,0.0944747972246511,0.055935991632997985,0.010305993307767117,0.036438110751839614,0.016525057387839163,0.042798396680240824,0.14050081484252966,0.02949732792610217,0.039179139864199124,0.009978072491971881,0.0402189566589739,0.026691921791441683,0.1321368791644333,0.031190360295831724,0.006980499438674464,0.00373617811101773,0.05025931644518506,0.07039245293207468,0.019480084448688973,0.024364179198827017,0.011155219657357864,0.08046312265472357,0.012863002955538737,0.03281748867418317,0.013617605052171425,0.06173128584151395,0.04933600624080484,0.022559554993886066,0.0017665816208668845,0.013132646295733321,0.008136997360972467,0.004860834268853983,0.009224861311575856,0.039584854279413946,0.06584370816699692,0.011063571779644116,0.014611690530440292,0.013647086497204693,0.04978457273136295,0.009507568509154681,0.15182609707270603,0.0055741693423718135,0.05633756267536581,0.17955551714612739,0.09015852922257989,0.008626496067157137,0.17282303348874598,0.0027142721363445765,0.10164606863812205,0.06148786685244782,0.041397132194554445,0.05968787869262748,0.0167351316937839,0.09222868081702203,0.003317302343947058,0.0036419259185257154,0.04146070910467765,0.10427349888015593,0.06733680428088482,0.014036455338813677,0.005172480183768237,0.0828219394508437,0.10110726290559224,0.0028086407299611057,0.0025446527267263585,0.030116339901186246,0.01771963588544439,0.004174650668134071,0.07942909349317516,0.0015731446281318923,0.03938966058953372,0.001859589163109553,0.017048372922005978,0.006029117926583342,0.05166803821253364,0.0003492812575815542,0.17463607658733715,0.0039840071135205015,0.01192989719047493,0.046526236236624226,0.01308668168228224,0.0862903709770168,0.0143393281092835,0.020345436184146384,0.0066657421746988445,0.024220050256616478,0.003623726016282089
9,0.037426498450197555,0.027784239433636435,0.037426498450197555,0.024485088481101785,0.012170962346755458,0.026314550979473036,0.030111700244369335,0.004400843840764899,0.10454910098206767,1.0000000000000004,0.004776552243966451,0.26446081448052017,0.001529593185093105,0.01418075937395176,0.01343733878309938,0.005742968150315483,0.005164342983940309,0.02109659981091036,0.00561492424212269,0.0006432770431473697,0.013299241702532315,0.02368381655814102,0.0024235815651590716,0.002814246075307733,0.0016834098400738944,0.08199433703217485,0.02097815492395658,0.006234900493979789,0.0009809378841775208,0.005221730789079693,0.02592914404700714,0.010604179330026768,0.009164722793801074,0.007118876309776688,0.012919557934096038,0.0021808442760518436,0.008316882564807506,0.01375637728592062,0.002076533423795343,0.002309578220190266,0.008197255904149648,0.006754661619200703,0.004825660729211201,0.004516617103915852,0.005972712319571423,0.0036213532634156603,0.02939557949980915,0.0313337859595669,0.012469301573226503,0.014488482273372233,0.00534161041065529,0.00991718338924532,0.01051192629081447,0.006618002259398905,0.025713542568238438,0.007693728234164297,0.10243687144933353,0.03327825322049859,0.010253332149600749,0.0021907042075978763,0.009280225935311822,0.05034815915059695,0.03982748087283741,0.002882753729009397,0.15855488404647275,0.012138358107211337,0.05941273815753289,0.0331844548202753,0.013029566108015367,0.012670552268740878,0.05338750919554602,0.04946641094255465,0.008825537421877215,0.03829777775150433,0.008076979937964914,0.1096534828065801,0.002424380609001872,0.007551936691277391,0.011645932099550857,0.010937711560847798,0.007514167399780219,0.004650380014045305,0.0030458122644142272,0.006233133993890078,0.021192281386803718,0.013262023056801998,0.005835439263732595,0.02832537215219251,0.003073867624450384,0.03471316441947397,0.005591762485840793,0.007444073482266821,0.22701672941174159,0.002193551450189896,0.012070177763761639,0.011761403076135369,0.016592293493662914,0.006673008836743797,0.004613226897910634,0.01889672409380526
